article_id,member,uncompressed_bytes
0108775015,010/0108775015.jpg,154607
0108775044,010/0108775044.jpg,106656
0108775051,010/0108775051.jpg,363376
0110065001,011/0110065001.jpg,148571
0110065002,011/0110065002.jpg,85663
0110065011,011/0110065011.jpg,122452
0111565001,011/0111565001.jpg,471967
0111565003,011/0111565003.jpg,291358
0111586001,011/0111586001.jpg,216581
0111593001,011/0111593001.jpg,343210
0111609001,011/0111609001.jpg,270177
0112679048,011/0112679048.jpg,968991
0112679052,011/0112679052.jpg,781722
0114428026,011/0114428026.jpg,275852
0114428030,011/0114428030.jpg,362365
0116379047,011/0116379047.jpg,428104
0118458003,011/0118458003.jpg,333848
0118458004,011/0118458004.jpg,361768
0118458028,011/0118458028.jpg,269415
0118458029,011/0118458029.jpg,564767
0118458034,011/0118458034.jpg,235589
0118458038,011/0118458038.jpg,353602
0118458039,011/0118458039.jpg,426766
0120129001,012/0120129001.jpg,102473
0120129014,012/0120129014.jpg,202152
0120129018,012/0120129018.jpg,125875
0120129025,012/0120129025.jpg,253953
0123173001,012/0123173001.jpg,282036
0126589006,012/0126589006.jpg,145197
0126589007,012/0126589007.jpg,125961
0126589010,012/0126589010.jpg,122443
0126589011,012/0126589011.jpg,521334
0126589012,012/0126589012.jpg,573019
0129085001,012/0129085001.jpg,165344
0129085026,012/0129085026.jpg,86691
0129085027,012/0129085027.jpg,328468
0130035001,013/0130035001.jpg,208104
0141661022,014/0141661022.jpg,179565
0141661025,014/0141661025.jpg,198246
0144993001,014/0144993001.jpg,252534
0145872001,014/0145872001.jpg,163858
0145872037,014/0145872037.jpg,346575
0145872043,014/0145872043.jpg,104856
0145872051,014/0145872051.jpg,243843
0145872052,014/0145872052.jpg,313889
0145872053,014/0145872053.jpg,380708
0146706001,014/0146706001.jpg,152575
0146706004,014/0146706004.jpg,204329
0146706005,014/0146706005.jpg,211118
0146721001,014/0146721001.jpg,276569
0146721002,014/0146721002.jpg,297415
0146730001,014/0146730001.jpg,255300
0147339034,014/0147339034.jpg,301820
0148033001,014/0148033001.jpg,237348
0148033006,014/0148033006.jpg,551324
0150959011,015/0150959011.jpg,656780
0150959013,015/0150959013.jpg,146761
0153115019,015/0153115019.jpg,173056
0153115020,015/0153115020.jpg,126986
0153115021,015/0153115021.jpg,90789
0153115039,015/0153115039.jpg,169552
0153115040,015/0153115040.jpg,188724
0153115043,015/0153115043.jpg,169270
0156224001,015/0156224001.jpg,216527
0156224002,015/0156224002.jpg,405603
0156227001,015/0156227001.jpg,617576
0156227002,015/0156227002.jpg,461957
0156231001,015/0156231001.jpg,188167
0156231002,015/0156231002.jpg,121475
0156289011,015/0156289011.jpg,686311
0156610001,015/0156610001.jpg,145713
0156610007,015/0156610007.jpg,271611
0156610010,015/0156610010.jpg,321666
0158340001,015/0158340001.jpg,210441
0160442007,016/0160442007.jpg,131233
0160442010,016/0160442010.jpg,115341
0160442042,016/0160442042.jpg,821477
0160442043,016/0160442043.jpg,149523
0162074062,016/0162074062.jpg,913162
0162074069,016/0162074069.jpg,209432
0162074071,016/0162074071.jpg,217001
0163734002,016/0163734002.jpg,152256
0163734054,016/0163734054.jpg,511882
0164912035,016/0164912035.jpg,721673
0164912039,016/0164912039.jpg,721350
0174057022,017/0174057022.jpg,275785
0174057026,017/0174057026.jpg,302962
0174057027,017/0174057027.jpg,293005
0174057029,017/0174057029.jpg,106924
0174057030,017/0174057030.jpg,184356
0174057032,017/0174057032.jpg,333563
0174057033,017/0174057033.jpg,243735
0174057035,017/0174057035.jpg,211661
0174057036,017/0174057036.jpg,288066
0174057037,017/0174057037.jpg,319555
0174057038,017/0174057038.jpg,202762
0174057039,017/0174057039.jpg,320982
0174057040,017/0174057040.jpg,139243
0176209023,017/0176209023.jpg,220989
0176209025,017/0176209025.jpg,361126
0176209033,017/0176209033.jpg,356672
0176209035,017/0176209035.jpg,458248
0176209039,017/0176209039.jpg,175983
0176209040,017/0176209040.jpg,189716
0176209044,017/0176209044.jpg,248025
0176209046,017/0176209046.jpg,185562
0176550016,017/0176550016.jpg,430789
0176550017,017/0176550017.jpg,176539
0176550018,017/0176550018.jpg,502193
0176550020,017/0176550020.jpg,331675
0176550021,017/0176550021.jpg,212691
0176754001,017/0176754001.jpg,106567
0176754003,017/0176754003.jpg,82397
0176754019,017/0176754019.jpg,80510
0179123001,017/0179123001.jpg,118363
0179123040,017/0179123040.jpg,233161
0179208008,017/0179208008.jpg,340055
0179393001,017/0179393001.jpg,188907
0179393018,017/0179393018.jpg,239954
0179950001,017/0179950001.jpg,180680
0179950002,017/0179950002.jpg,146889
0179950017,017/0179950017.jpg,229311
0181160009,018/0181160009.jpg,396219
0181448022,018/0181448022.jpg,243666
0181448102,018/0181448102.jpg,1076741
0181448103,018/0181448103.jpg,1377104
0181448104,018/0181448104.jpg,328168
0181448105,018/0181448105.jpg,325958
0181448106,018/0181448106.jpg,226855
0181448109,018/0181448109.jpg,238983
0182909001,018/0182909001.jpg,197322
0183815013,018/0183815013.jpg,159533
0184121021,018/0184121021.jpg,178616
0184123020,018/0184123020.jpg,146999
0184583014,018/0184583014.jpg,1006088
0186262001,018/0186262001.jpg,231988
0186262006,018/0186262006.jpg,187337
0186262007,018/0186262007.jpg,189706
0186262013,018/0186262013.jpg,88698
0186264014,018/0186264014.jpg,201465
0186264015,018/0186264015.jpg,160524
0186264016,018/0186264016.jpg,125576
0186266004,018/0186266004.jpg,221648
0186267001,018/0186267001.jpg,238492
0186372011,018/0186372011.jpg,145897
0186372042,018/0186372042.jpg,404318
0186372045,018/0186372045.jpg,489138
0186595001,018/0186595001.jpg,152323
0187949016,018/0187949016.jpg,295464
0187949019,018/0187949019.jpg,216236
0187949020,018/0187949020.jpg,178532
0187949025,018/0187949025.jpg,223611
0187949026,018/0187949026.jpg,196282
0187949028,018/0187949028.jpg,318752
0187949029,018/0187949029.jpg,156897
0187949030,018/0187949030.jpg,319688
0187949031,018/0187949031.jpg,165505
0187949032,018/0187949032.jpg,234756
